language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.90  T=73.64 s (20.2 files/s, 7683.0 lines/s)"
C++,.\Engine\Dependencies\Vendor\glm\detail\type_vec3.inl,128,13,927
HTML,.\Engine\Dependencies\GLEW\doc\glew.html,12,32,880
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\setup.hpp,166,108,861
C++,.\Engine\Dependencies\Vendor\glm\gtx\euler_angles.inl,65,1,833
C++,.\Engine\ECS\componentSerialization.cpp,86,105,833
C/C++ Header,.\Engine\Dependencies\rapidjson\pointer.h,220,366,829
C/C++ Header,.\Engine\Dependencies\Vendor\imgui\imstb_textedit.h,166,461,820
C++,.\Engine\Dependencies\Vendor\glm\detail\type_vec2.inl,121,13,779
C/C++ Header,.\Engine\Dependencies\Vendor\imgui\stb_textedit.h,148,405,768
C++,.\Engine\Dependencies\Vendor\glm\gtc\packing.inl,125,61,752
JSON,.\Party_Pantry\Config\SavedLevels\ryantomatoLevel.json,0,0,750
C/C++ Header,.\Engine\Dependencies\fmod\include\fmod_common.h,73,34,744
C#,.\Engine\Dependencies\fmod\include\fmod_dsp.cs,86,23,737
XML,.\Engine\Dependencies\Mono\lib\mono\4.5\Microsoft.Common.targets,171,59,727
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\_swizzle.hpp,47,53,704
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\psaux.h,296,452,690
C++,.\Engine\Dependencies\Vendor\glm\detail\type_vec4_simd.inl,92,2,681
C++,.\Engine\Dependencies\Vendor\imgui\imgui_impl_win32.cpp,82,128,674
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\ttnameid.h,68,494,673
C++,.\Engine\Dependencies\Vendor\imgui\imgui_impl_glfw.cpp,82,119,657
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\_swizzle_func.hpp,34,0,648
C++,.\Engine\Dependencies\Vendor\glm\detail\func_common.inl,112,42,638
C/C++ Header,.\Engine\Dependencies\Vendor\imgui\imgui_memory_editor.h,57,68,626
C++,.\Engine\Dependencies\Vendor\glm\detail\type_mat4x4.inl,76,32,598
C/C++ Header,.\Engine\Dependencies\rapidjson\internal\regex.h,100,55,584
